id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T19:31:03;2024-10-21T06:57:01
2;um;2024-10-20T17:33:41;2024-10-21T12:04:16
3;royal;2024-10-20T22:41:54;2024-10-21T06:56:50
4;cappelletti;2024-10-20T21:54:53;2024-10-21T03:06:47
5;sheathe as midst;2024-10-21T06:31:31;2024-10-21T02:43:59
6;unless gracefully;2024-10-21T11:16:38;2024-10-20T20:15:57
7;dress;2024-10-20T18:48:56;2024-10-21T00:22:26
8;bustling hence instead;2024-10-21T12:00:01;2024-10-21T10:12:19
9;pip serpentine intensely;2024-10-20T15:16:51;2024-10-20T16:39:47
10;judicious;2024-10-21T03:39:16;2024-10-20T18:41:24
