id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-21T13:26:00;2024-10-21T01:14:27
2;shyly um politely;2024-10-21T05:01:43;2024-10-21T15:02:25
3;mmm;2024-10-20T18:34:51;2024-10-21T03:04:02
4;from above circle;2024-10-20T18:49:35;2024-10-21T04:28:30
5;scare given generally;2024-10-21T00:01:06;2024-10-21T03:01:03
6;repurpose whereas;2024-10-21T11:30:38;2024-10-20T19:06:20
7;a;2024-10-20T23:57:34;2024-10-21T12:16:18
8;rigidly;2024-10-20T17:53:29;2024-10-20T23:04:05
9;like tag longingly;2024-10-20T17:57:05;2024-10-21T12:07:21
10;aside;2024-10-20T23:14:09;2024-10-21T09:01:48
