id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-20T21:03:05;2024-10-20T18:34:50
2;prance;2024-10-20T16:10:23;2024-10-21T09:13:34
3;cheetah between;2024-10-21T14:31:37;2024-10-21T14:09:24
4;premeditation;2024-10-20T20:38:05;2024-10-21T05:18:47
5;insistent;2024-10-20T18:28:22;2024-10-21T14:59:59
6;yippee;2024-10-20T23:25:20;2024-10-21T02:39:35
7;yahoo;2024-10-20T22:55:23;2024-10-21T13:36:41
8;zesty;2024-10-21T14:31:48;2024-10-21T02:49:22
9;sensitize down fooey;2024-10-21T07:27:34;2024-10-21T06:08:53
10;pecan bah nocturnal;2024-10-21T02:09:13;2024-10-21T12:26:00
