id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T19:23:35;2024-10-21T06:49:33
2;um;2024-10-20T17:26:13;2024-10-21T11:56:48
3;royal;2024-10-20T22:34:26;2024-10-21T06:49:22
4;cappelletti;2024-10-20T21:47:25;2024-10-21T02:59:19
5;sheathe as midst;2024-10-21T06:24:03;2024-10-21T02:36:31
6;unless gracefully;2024-10-21T11:09:10;2024-10-20T20:08:29
7;dress;2024-10-20T18:41:28;2024-10-21T00:14:58
8;bustling hence instead;2024-10-21T11:52:33;2024-10-21T10:04:51
9;pip serpentine intensely;2024-10-20T15:09:23;2024-10-20T16:32:19
10;judicious;2024-10-21T03:31:48;2024-10-20T18:33:56
