id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T12:00:43;2024-10-20T21:58:12
2;brightly;2024-10-20T19:57:53;2024-10-21T13:48:44
3;carpool irritably;2024-10-21T09:58:27;2024-10-21T08:16:15
4;nervously meh;2024-10-20T22:48:47;2024-10-21T11:42:12
5;testimonial tray;2024-10-21T00:20:13;2024-10-20T16:31:33
6;carouse hungry;2024-10-21T01:42:47;2024-10-20T18:53:11
7;plumber halt gee;2024-10-21T00:13:57;2024-10-20T21:59:54
8;ski stealthily;2024-10-20T18:16:09;2024-10-21T04:34:11
9;glimmer;2024-10-20T17:26:57;2024-10-20T16:04:59
10;adrenalin considering who;2024-10-21T03:20:51;2024-10-20T16:58:39
