id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T11:48:31;2024-10-20T18:54:10;27304.56
2;needily narrowcast phew;2024-10-20T17:29:34;2024-10-20T18:17:20;4260.17
3;uh-huh near;2024-10-21T00:12:43;2024-10-21T05:58:03;16652.73
4;fleck thunderbolt;2024-10-21T11:43:47;2024-10-21T00:49:38;28276.45
5;custody epic helpfully;2024-10-20T22:36:34;2024-10-21T13:43:03;1181.84
6;debit;2024-10-20T18:25:43;2024-10-20T19:49:08;28089.18
7;instead um exactly;2024-10-21T10:42:12;2024-10-20T19:08:11;13622.9
8;motionless mountain;2024-10-20T15:53:41;2024-10-21T04:23:05;29692.7
9;mould per;2024-10-20T22:04:41;2024-10-21T03:56:00;32684.23
10;yuck if;2024-10-21T04:48:37;2024-10-21T00:06:09;1065.76
