id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T19:23:19;2024-10-21T06:49:17
2;um;2024-10-20T17:25:57;2024-10-21T11:56:32
3;royal;2024-10-20T22:34:10;2024-10-21T06:49:06
4;cappelletti;2024-10-20T21:47:09;2024-10-21T02:59:03
5;sheathe as midst;2024-10-21T06:23:47;2024-10-21T02:36:15
6;unless gracefully;2024-10-21T11:08:54;2024-10-20T20:08:13
7;dress;2024-10-20T18:41:12;2024-10-21T00:14:42
8;bustling hence instead;2024-10-21T11:52:17;2024-10-21T10:04:35
9;pip serpentine intensely;2024-10-20T15:09:07;2024-10-20T16:32:03
10;judicious;2024-10-21T03:31:32;2024-10-20T18:33:40
