id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-21T03:00:06;2024-10-21T04:49:38;31074.64
2;regarding before sadly;2024-10-21T13:12:26;2024-10-21T06:03:24;25917.4
3;weight;2024-10-20T21:18:12;2024-10-20T16:52:40;4322.44
4;markup once;2024-10-20T19:03:56;2024-10-21T05:17:35;387.9
5;astride heartfelt;2024-10-20T21:59:36;2024-10-21T02:13:49;11688.51
6;ouch;2024-10-20T17:40:05;2024-10-20T16:36:09;14350.48
7;claw barring SUV;2024-10-21T06:05:22;2024-10-21T06:09:00;3623.16
8;wry;2024-10-21T05:46:42;2024-10-21T12:03:35;14171.2
9;progress;2024-10-21T01:49:09;2024-10-21T14:57:27;10390.74
10;even;2024-10-20T16:04:50;2024-10-21T14:13:19;28555.9
