id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-20T16:24:45;2024-10-21T09:25:49;26136.27
2;volleyball greedily;2024-10-20T18:33:35;2024-10-21T06:14:59;4027.71
3;who reassuringly inure;2024-10-20T19:36:13;2024-10-21T13:07:58;14951.91
4;versus providence very;2024-10-21T06:56:16;2024-10-21T09:58:33;18694.57
5;which instead er;2024-10-20T18:45:42;2024-10-20T20:06:42;32521.77
6;harangue;2024-10-20T22:36:15;2024-10-21T00:43:22;20002.22
7;drain;2024-10-21T03:10:27;2024-10-21T15:03:01;26780.63
8;wolf charter;2024-10-21T11:47:40;2024-10-21T09:37:11;8424.97
9;oh huzzah psst;2024-10-21T04:03:14;2024-10-21T00:20:17;26258.74
10;wrongly;2024-10-21T09:30:42;2024-10-20T15:37:33;28736.54
