id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-20T17:12:59;2024-10-21T13:55:59;650.31
2;publicize;2024-10-20T16:14:11;2024-10-21T00:36:19;21968.11
3;when blink boohoo;2024-10-20T20:16:48;2024-10-21T03:22:52;1203.87
4;slow via dense;2024-10-20T21:13:56;2024-10-21T01:49:39;31060.02
5;foolishly shirk;2024-10-21T15:24:41;2024-10-20T16:13:39;28998.21
6;while greedily offend;2024-10-20T18:56:27;2024-10-21T08:29:16;7275.38
7;scientific despite;2024-10-20T19:23:09;2024-10-21T05:34:47;7848.09
8;whether frankly pfft;2024-10-20T20:25:10;2024-10-20T18:50:31;10828.67
9;aha advancement intend;2024-10-21T15:03:06;2024-10-20T21:34:35;21098.77
10;pish when pfft;2024-10-20T18:53:48;2024-10-20T16:12:04;26410.71
