id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T11:56:01;2024-10-20T19:01:40;27304.56
2;needily narrowcast phew;2024-10-20T17:37:04;2024-10-20T18:24:50;4260.17
3;uh-huh near;2024-10-21T00:20:13;2024-10-21T06:05:33;16652.73
4;fleck thunderbolt;2024-10-21T11:51:17;2024-10-21T00:57:08;28276.45
5;custody epic helpfully;2024-10-20T22:44:04;2024-10-21T13:50:33;1181.84
6;debit;2024-10-20T18:33:13;2024-10-20T19:56:38;28089.18
7;instead um exactly;2024-10-21T10:49:42;2024-10-20T19:15:41;13622.9
8;motionless mountain;2024-10-20T16:01:11;2024-10-21T04:30:35;29692.7
9;mould per;2024-10-20T22:12:11;2024-10-21T04:03:30;32684.23
10;yuck if;2024-10-21T04:56:07;2024-10-21T00:13:39;1065.76
