id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-20T21:02:51;2024-10-20T18:34:36
2;prance;2024-10-20T16:10:09;2024-10-21T09:13:20
3;cheetah between;2024-10-21T14:31:23;2024-10-21T14:09:10
4;premeditation;2024-10-20T20:37:51;2024-10-21T05:18:33
5;insistent;2024-10-20T18:28:08;2024-10-21T14:59:45
6;yippee;2024-10-20T23:25:06;2024-10-21T02:39:21
7;yahoo;2024-10-20T22:55:09;2024-10-21T13:36:27
8;zesty;2024-10-21T14:31:34;2024-10-21T02:49:08
9;sensitize down fooey;2024-10-21T07:27:20;2024-10-21T06:08:39
10;pecan bah nocturnal;2024-10-21T02:08:59;2024-10-21T12:25:46
