id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-21T03:00:20;2024-10-21T04:49:52;31074.64
2;regarding before sadly;2024-10-21T13:12:40;2024-10-21T06:03:38;25917.4
3;weight;2024-10-20T21:18:26;2024-10-20T16:52:54;4322.44
4;markup once;2024-10-20T19:04:10;2024-10-21T05:17:49;387.9
5;astride heartfelt;2024-10-20T21:59:50;2024-10-21T02:14:03;11688.51
6;ouch;2024-10-20T17:40:19;2024-10-20T16:36:23;14350.48
7;claw barring SUV;2024-10-21T06:05:36;2024-10-21T06:09:14;3623.16
8;wry;2024-10-21T05:46:56;2024-10-21T12:03:49;14171.2
9;progress;2024-10-21T01:49:23;2024-10-21T14:57:41;10390.74
10;even;2024-10-20T16:05:04;2024-10-21T14:13:33;28555.9
