id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T12:44:15;2024-10-21T15:09:36;12898.14
2;depute drat grandson;2024-10-21T02:53:27;2024-10-21T08:21:44;4679.93
3;across;2024-10-21T11:05:21;2024-10-20T16:43:46;13448.07
4;for;2024-10-21T09:13:03;2024-10-21T13:46:04;7174.97
5;gee scram;2024-10-20T18:31:40;2024-10-21T09:44:24;16042.54
6;modulo;2024-10-21T03:50:55;2024-10-21T00:13:31;28718.53
7;whose;2024-10-21T10:06:10;2024-10-20T18:48:46;15597.78
8;entice epic;2024-10-21T04:29:56;2024-10-20T16:13:59;11896.86
9;amid;2024-10-21T00:04:40;2024-10-21T10:35:44;26948.72
10;dicker deeply violin;2024-10-21T02:48:49;2024-10-21T12:16:28;4540.78
