id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T19:47:03;2024-10-20T15:21:14
2;whether;2024-10-21T06:47:00;2024-10-20T23:24:13
3;given rosemary;2024-10-21T07:06:34;2024-10-21T11:23:10
4;pomelo jeopardise;2024-10-21T00:51:55;2024-10-20T21:10:35
5;before closed;2024-10-20T23:40:24;2024-10-20T19:14:12
6;quizzically;2024-10-21T06:56:04;2024-10-20T16:56:58
7;fortunately;2024-10-21T11:03:21;2024-10-21T15:03:46
8;jealous witty oof;2024-10-21T09:08:28;2024-10-20T22:17:13
9;table pause;2024-10-20T18:38:39;2024-10-21T02:55:25
10;premier mobility;2024-10-21T12:06:37;2024-10-21T06:35:39
